拉马库斯-阿尔德里奇 LaMarcus Aldridge
科怀-伦纳德 Kawhi Leonard
保罗-加索尔 Pau Gasol
托尼-帕克 Tony Parker
马努-吉诺比利 Manu Ginobili
丹尼-格林 Danny Green
帕蒂-米尔斯 Patty Mills
德维恩-戴德蒙 Dewayne Dedmon
大卫-李 David Lee
凯尔-安德森 Kyle Anderson
德章泰-默里 Dejounte Murray
乔纳森-西蒙斯 Jonathon Simmons
戴维斯-贝尔坦斯 Davis Bertans
布林-福布斯 Bryn Forbes
乔尔-安东尼 Joel Anthony
克里斯-波什 Chris Bosh
哈桑-怀特塞德 Hassan Whiteside
戈兰-德拉季奇 Goran Dragic
韦恩-艾灵顿 Wayne Ellington
约什-麦克罗伯茨 Josh McRoberts
泰勒-约翰逊 Tyler Johnson
犹多尼斯-哈斯勒姆 Udonis Haslem
詹姆斯-约翰逊 James Johnson
迪昂-韦特斯 Dion Waiters
贾斯蒂斯-温斯洛 Justise Winslow
卢克-巴比特 Luke Babbitt
威利-里德 Willie Reed
约什-理查德森 Josh Richardson
罗德尼-麦格鲁德 Rodney McGruder
奥卡罗-怀特 Okaro White
德维恩-韦德 Dwyane Wade
吉米-巴特勒 Jimmy Butler
拉简-隆多 Rajon Rondo
罗宾-洛佩斯 Robin Lopez
尼古拉-米罗蒂奇 Nikola Mirotic
安东尼-莫罗 Anthony Morrow
迈克尔-卡特-威廉姆斯 Michael Carter-Williams
杰里安-格兰特 Jerian Grant
卡梅伦-佩恩 Cameron Payne
登泽尔-瓦伦丁 Denzel Valentine
若弗雷-洛韦尔涅 Joffrey Lauvergne
博比-波蒂斯 Bobby Portis
以赛亚-卡南 Isaiah Canaan
克里斯蒂亚诺-费利西奥 Cristiano Felicio
保罗-齐普泽 Paul Zipser
德怀特-霍华德 Dwight Howard
保罗-米尔萨普 Paul Millsap
肯特-贝兹莫尔 Kent Bazemore
艾森-伊利亚索瓦 Ersan Ilyasova
迈克-邓利维 Mike Dunleavy
克里斯-亨弗里斯 Kris Humphries
萨博-塞福洛沙 Thabo Sefolosha
丹尼斯-施罗德 Dennis Schroder
马尔科姆-德莱尼 Malcolm Delaney
托里恩-普林斯 Taurean Prince
小蒂姆-哈达威 Tim Hardaway Jr.
德安德鲁-本布里 DeAndre' Bembry
迈克-穆斯卡拉 Mike Muscala
何塞-卡尔德隆 José Calderón
瑞安-凯利 Ryan Kelly
埃文-富尼耶 Evan Fournier
俾斯麦-比永博 Bismack Biyombo
杰夫-格林 Jeff Green
尼古拉-武切维奇 Nikola Vucevic
特伦斯-罗斯 Terrence Ross
DJ-奥古斯丁 D.J. Augustin
约迪-米克斯 Jodie Meeks
CJ-沃特森 C.J. Watson
阿龙-戈登 Aaron Gordon
马里奥-海佐尼亚 Mario Hezonja
埃尔弗里德-佩顿 Elfrid Payton
达米扬-鲁代日 Damjan Rudez
斯蒂芬-齐默尔曼 Stephen Zimmerman Jr.
帕特里西奥-加里诺 Patricio Garino
马库斯-乔治-亨特 Marcus Georges-Hunt
安德烈-德拉蒙德 Andre Drummond
托拜厄斯-哈里斯 Tobias Harris
雷吉-杰克逊 Reggie Jackson
乔恩-洛伊尔 Jon Leuer
博班-马里亚诺维奇 Boban Marjanovic
阿隆-贝恩斯 Aron Baynes
伊斯梅尔-史密斯 Ish Smith
马库斯-莫里斯 Marcus Morris
肯塔维厄斯-考德威尔-波普 Kentavious Caldwell-Pope
斯坦利-约翰逊 Stanley Johnson
雷吉-布洛克 Reggie Bullock
亨利-埃伦森 Henry Ellenson
本诺-尤德里 Beno Udrih
达伦-希利亚德 Darrun Hilliard
迈克尔-贝纳杰 Michael Gbinije
格雷格-门罗 Greg Monroe
克里斯-米德尔顿 Khris Middleton
约翰-亨森 John Henson
米尔扎-泰莱托维奇 Mirza Teletovic
马修-戴拉维多瓦 Matthew Dellavedova
斯宾瑟-霍伊斯 Spencer Hawes
贾巴里-帕克 Jabari Parker
扬尼斯-阿德托昆博 Giannis Antetokounmpo
索恩-梅克 Thon Maker
托尼-斯内尔 Tony Snell
拉沙德-沃恩 Rashad Vaughn
杰森-特里 Jason Terry
迈克尔-比斯利 Michael Beasley
马尔科姆-布罗格登 Malcolm Brogdon
加里-佩顿二世 Gary Payton II
勒布朗-詹姆斯 LeBron James
凯文-乐福 Kevin Love
凯里-欧文 Kyrie Irving
JR-史密斯 J.R. Smith
特里斯坦-汤普森 Tristan Thompson
伊曼-香珀特 Iman Shumpert
钱宁-弗莱 Channing Frye
凯尔-科沃尔 Kyle Korver
理查德-杰弗森 Richard Jefferson
詹姆斯-琼斯 James Jones
凯-费尔德 Kay Felder
德隆-威廉姆斯 Deron Williams
德里克-威廉姆斯 Derrick Williams
邓台-琼斯 Dahntay Jones
埃迪-塔瓦雷斯 Edy Tavares
尼古拉斯-巴图姆 Nicolas Batum
迈克尔-基德-吉尔克里斯特 Michael Kidd-Gilchrist
迈尔斯-普拉姆利 Miles Plumlee
马文-威廉姆斯 Marvin Williams
肯巴-沃克 Kemba Walker
杰里米-兰姆 Jeremy Lamb
马科-贝里内利 Marco Belinelli
拉蒙-塞申斯 Ramon Sessions
科迪-泽勒 Cody Zeller
弗兰克-卡明斯基 Frank Kaminsky
布莱恩-罗伯茨 Brian Roberts
克里斯蒂安-伍德 Christian Wood
特雷韦恩-格雷厄姆 Treveon Graham
约翰尼-奥布莱恩特三世 Johnny O'Bryant III
布里安特-韦伯 Briante Weber
保罗-乔治 Paul George
赛迪斯-杨 Thaddeus Young
蒙塔-埃利斯 Monta Ellis
艾尔-杰弗森 Al Jefferson
杰夫-蒂格 Jeff Teague
CJ-迈尔斯 C.J. Miles
兰斯-史蒂芬森 Lance Stephenson
拉沃伊-阿伦 Lavoy Allen
阿隆-布鲁克斯 Aaron Brooks
迈尔斯-特纳 Myles Turner
凯文-塞拉芬 Kevin Seraphin
约瑟夫-杨 Joe Young
格伦-罗宾逊三世 Glenn Robinson III
拉基姆-克里斯马斯 Rakeem Christmas
乔治-尼昂 Georges Niang
布拉德利-比尔 Bradley Beal
约翰-沃尔 John Wall
伊安-马辛米 Ian Mahinmi
马尔钦-戈塔特 Marcin Gortat
马基夫-莫里斯 Markieff Morris
奥托-波特 Otto Porter
杰森-史密斯 Jason Smith
博扬-波格丹诺维奇 Bojan Bogdanovic
特雷-伯克 Trey Burke
托马什-萨托兰斯基 Tomas Satoransky
凯利-乌布雷 Kelly Oubre Jr.
布兰登-詹宁斯 Brandon Jennings
克里斯-麦卡洛 Chris McCullough
谢尔登-麦克莱伦 Sheldon McClellan
丹尼尔-奥谢富 Daniel Ochefu
布鲁克-洛佩斯 Brook Lopez
林书豪 Jeremy Lin
特雷沃-布克 Trevor Booker
安德鲁-尼科尔森 Andrew Nicholson
KJ-麦克丹尼尔斯 K.J. McDaniels
贾斯汀-汉密尔顿 Justin Hamilton
兰迪-弗耶 Randy Foye
卡里斯-勒韦尔 Caris LeVert
朗戴-霍利斯-杰弗森 Rondae Hollis-Jefferson
以赛亚-怀特黑德 Isaiah Whitehead
斯潘塞-丁威迪 Spencer Dinwiddie
乔-哈里斯 Joe Harris
肖恩-基尔帕特里克 Sean Kilpatrick
昆西-埃西 Quincy Acy
阿奇-古德温 Archie Goodwin
杰里-贝勒斯 Jerryd Bayless
杰拉德-亨德森 Gerald Henderson
塞尔希奥-罗德里格斯 Sergio Rodríguez
本-西蒙斯 Ben Simmons
乔尔-恩比德 Joel Embiid
贾利尔-奥卡福 Jahlil Okafor
尼克-斯陶斯卡斯 Nik Stauskas
达里奥-沙里奇 Dario Saric
贾斯廷-安德森 Justin Anderson
蒂莫泰-卢瓦乌-卡巴罗 Timothé Luwawu-Cabarrot
里乔恩-霍姆斯 Richaun Holmes
罗伯特-科温顿 Robert Covington
TJ-麦康奈尔 T.J. McConnell
肖恩-朗 Shawn Long
亚历克斯-波伊思雷斯 Alex Poythress
蒂亚戈-斯普利特 Tiago Splitter
卡梅罗-安东尼 Carmelo Anthony
德里克-罗斯 Derrick Rose
乔金-诺阿 Joakim Noah
考特尼-李 Courtney Lee
兰斯-托马斯 Lance Thomas
克里斯塔普斯-波尔津吉斯 Kristaps Porzingis
凯尔-奥奎因 Kyle O'Quinn
明道加斯-库兹明斯卡斯 Mindaugas Kuzminskas
萨沙-武贾西奇 Sasha Vujacic
吉列尔莫-埃尔南戈麦斯 Guillermo Hernangómez
贾斯汀-霍勒迪 Justin Holiday
莫里斯-恩多尔 Maurice Ndour
马绍尔-普拉姆利 Marshall Plumlee
罗恩-贝克 Ron Baker
沙松-兰德尔 Chasson Randle
达尼罗-加里纳利 Danilo Gallinari
肯尼思-法里德 Kenneth Faried
威尔森-钱德勒 Wilson Chandler
达雷尔-亚瑟 Darrell Arthur
罗伊-希伯特 Roy Hibbert
贾米尔-尼尔森 Jameer Nelson
威尔-巴顿 Will Barton
伊曼纽尔-穆迪埃 Emmanuel Mudiay
贾马尔-默里 Jamal Murray
迈克-米勒 Mike Miller
梅森-普拉姆利 Mason Plumlee
胡安-埃尔南戈麦斯 Juancho Hernangómez
加里-哈里斯 Gary Harris
马利克-比斯利 Malik Beasley
尼古拉-约基奇 Nikola Jokic
德马尔-德罗赞 DeMar DeRozan
约纳斯-瓦兰丘纳斯 Jonas Valanciunas
德马雷-卡罗尔 DeMarre Carroll
赛尔吉-伊巴卡 Serge Ibaka
凯尔-洛瑞 Kyle Lowry
科里-约瑟夫 Cory Joseph
帕特里克-帕特森 Patrick Patterson
PJ-塔克 P.J. Tucker
雅各布-珀尔特尔 Jakob Poeltl
卢卡斯-诺盖拉 Lucas Nogueira
布鲁诺-卡博克洛 Bruno Caboclo
德朗-赖特 Delon Wright
帕斯卡尔-西亚卡姆 Pascal Siakam
诺曼-鲍威尔 Norman Powell
弗雷德-范弗利特 Fred VanVleet
达米安-利拉德 Damian Lillard
阿伦-克拉布 Allen Crabbe
埃文-特纳 Evan Turner
迈耶斯-伦纳德 Meyers Leonard
莫里斯-哈克利斯 Maurice Harkless
艾尔-法鲁克-阿米奴 Al-Farouq Aminu
费斯图斯-埃泽利 Festus Ezeli
埃德-戴维斯 Ed Davis
CJ-麦科勒姆 C.J. McCollum
诺阿-冯莱 Noah Vonleh
优素福-努尔基奇 Jusuf Nurkic
沙巴兹-内皮尔 Shabazz Napier
帕特-康诺顿 Pat Connaughton
杰克-莱曼 Jake Layman
蒂姆-夸特曼 Tim Quarterman
戈登-海沃德 Gordon Hayward
乔-约翰逊 Joe Johnson
德里克-费沃斯 Derrick Favors
亚历克-伯克斯 Alec Burks
乔治-希尔 George Hill
伯瑞斯-迪奥 Boris Diaw
丹特-埃克萨姆 Danté Exum
谢尔文-麦克 Shelvin Mack
特雷-莱尔斯 Trey Lyles
乔-英格尔斯 Joe Ingles
鲁迪-戈贝尔 Rudy Gobert
罗德尼-胡德 Rodney Hood
杰夫-威西 Jeff Withey
劳尔-内托 Raul Neto
乔尔-博伦博伊 Joel Bolomboy
艾尔-霍弗德 Al Horford
阿米尔-约翰逊 Amir Johnson
埃弗里-布拉德利 Avery Bradley
泰勒-泽勒 Tyler Zeller
以赛亚-托马斯 Isaiah Thomas
杰-克劳德 Jae Crowder
约纳斯-杰雷布科 Jonas Jerebko
杰伦-布朗 Jaylen Brown
马库斯-斯马特 Marcus Smart
凯利-奥利尼克 Kelly Olynyk
特里-罗齐尔 Terry Rozier
詹姆斯-杨 James Young
杰拉德-格林 Gerald Green
迪米特里厄斯-杰克逊 Demetrius Jackson
乔丹-米基 Jordan Mickey
里基-卢比奥 Ricky Rubio
尼古拉-佩科维奇 Nikola Pekovic
科尔-阿尔德里奇 Cole Aldrich
安德鲁-威金斯 Andrew Wiggins
卡尔-安东尼-唐斯 Karl-Anthony Towns
乔丹-希尔 Jordan Hill
克里斯-邓恩 Kris Dunn
内马尼亚-别利察 Nemanja Bjelica
布兰登-拉什 Brandon Rush
沙巴兹-穆罕默德 Shabazz Muhammad
戈尔吉-吉昂 Gorgui Dieng
扎克-拉文 Zach LaVine
阿德里安-佩恩 Adreian Payne
泰厄斯-琼斯 Tyus Jones
欧米-卡斯比 Omri Casspi
拉塞尔-威斯布鲁克 Russell Westbrook
埃内斯-坎特 Enes Kanter
泰-吉布森 Taj Gibson
维克托-奥拉迪波 Victor Oladipo
亚历克斯-阿夫里内斯 lex Abrines
凯尔-辛格勒 Kyle Singler
尼克-科里森 Nick Collison
史蒂文-亚当斯 Steven Adams
道格-麦克德莫特 Doug McDermott
多曼塔斯-萨博尼斯 Domantas Sabonis
安德烈-罗伯森 Andre Roberson
乔什-休斯蒂斯 Josh Huestis
塞马杰-克里斯顿 Semaj Christon
杰拉米-格兰特 Jerami Grant
诺里斯-科尔 Norris Cole
埃里克-布莱索 Eric Bledsoe
布兰登-奈特 Brandon Knight
泰森-钱德勒 Tyson Chandler
贾里德-杜德利 Jared Dudley
亚历克斯-莱恩 Alex Len
德拉甘-本德尔 Dragan Bender
莱昂德罗-巴博萨 Leandro Barbosa
马基斯-克里斯 Marquese Chriss
罗尼-普莱斯 Ronnie Price
德文-布克 Devin Booker
TJ-沃伦 T.J. Warren
阿兰-威廉姆斯 Alan Williams
小德里克-琼斯 Derrick Jones Jr.
泰勒-尤利斯 Tyler Ulis
伊莱贾-米尔萨普 Elijah Millsap
洛尔-邓 Luol Deng
季莫费-莫兹戈夫 Timofey Mozgov
乔丹-克拉克森 Jordan Clarkson
科里-布鲁尔 Corey Brewer
塔里克-布莱克 Tarik Black
尼克-杨 Nick Young
丹吉洛-拉塞尔 D'Angelo Russell
布兰登-英格拉姆 Brandon Ingram
朱利叶斯-兰德尔 Julius Randle
泰勒-恩尼斯 Tyler Ennis
梅塔-沃尔德皮斯 Metta World Peace
小拉里-南斯 Larry Nance Jr.
托马斯-罗宾逊 Thomas Robinson
伊维察-祖巴茨 Ivica Zubac
大卫-努瓦巴 David Nwaba
克里斯-保罗 Chris Paul
德安德鲁-乔丹 DeAndre Jordan
布雷克-格里芬 Blake Griffin
贾马尔-克劳福德 Jamal Crawford
奥斯汀-里弗斯 Austin Rivers
JJ-雷迪克 J.J. Redick
韦斯利-约翰逊 Wesley Johnson
保罗-皮尔斯 Paul Pierce
卢克-理查德-巴莫特 Luc Richard Mbah a Moute
雷蒙德-费尔顿 Raymond Felton
布兰登-巴斯 Brandon Bass
马利斯-斯贝茨 Marreese Speights
阿兰-安德森 Alan Anderson
布赖斯-约翰逊 Brice Johnson
戴蒙德-斯通 Diamond Stone
鲁迪-盖伊 Rudy Gay
阿隆-阿弗拉罗 Arron Afflalo
泰瑞克-埃文斯 Tyreke Evans
科斯塔-库佛斯 Kosta Koufos
加莱特-坦普尔 Garrett Temple
安东尼-托利弗 Anthony Tolliver
达伦-科里森 Darren Collison
兰斯顿-加洛韦 Langston Galloway
本-麦克勒摩 Ben McLemore
威利-考利-斯坦 Willie Cauley-Stein
巴迪-希尔德 Buddy Hield
乔治斯-帕帕扬尼斯 Georgios Papagiannis
马拉奇-理查德森 Malachi Richardson
泰-劳森 Ty Lawson
斯卡尔-拉比西埃 Skal Labissiere
凯文-杜兰特 Kevin Durant
克莱-汤普森 Klay Thompson
德雷蒙德-格林 Draymond Green
斯蒂芬-库里 Stephen Curry
安德烈-伊格达拉 Andre Iguodala
肖恩-利文斯顿 Shaun Livingston
扎扎-帕楚里亚 Zaza Pachulia
大卫-韦斯特 David West
